Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw
2024-02-03 17:04:29,20,10,-5,11,113,0,0,33
2024-02-03 17:04:29,20,9,-4,9,113,0,0,27
2024-02-03 17:04:29,20,9,-3,9,112,0,0,27
2024-02-03 17:04:30,20,10,-4,9,112,0,0,27
2024-02-03 17:04:30,20,10,-4,9,112,0,0,27
2024-02-03 17:04:30,20,10,-4,10,112,0,0,30
2024-02-03 17:04:30,20,10,-4,9,111,0,0,27
2024-02-03 17:04:30,20,10,-5,9,111,0,0,27
2024-02-03 17:04:30,20,10,-5,9,111,0,0,27
2024-02-03 17:04:30,20,10,-5,9,111,0,0,27
2024-02-03 17:04:30,20,10,-5,9,111,0,0,27
2024-02-03 17:04:31,20,11,-6,7,112,0,0,21
2024-02-03 17:04:31,20,11,-6,7,113,0,0,21
2024-02-03 17:04:31,20,11,-6,4,113,0,0,12
2024-02-03 17:04:31,20,12,-6,4,114,0,0,12
2024-02-03 17:04:31,20,12,-6,4,114,0,0,12
2024-02-03 17:04:31,20,12,-7,3,114,-24,0,9
2024-02-03 17:04:31,20,12,-7,4,114,0,0,12
2024-02-03 17:04:31,20,11,-7,3,114,-22,0,9
2024-02-03 17:04:31,20,12,-7,3,114,-24,0,9
2024-02-03 17:04:31,20,11,-7,3,115,-22,0,9
2024-02-03 17:04:31,20,11,-7,-1,115,-22,0,-3
2024-02-03 17:04:31,20,11,-7,-1,115,-22,0,-3
2024-02-03 17:04:32,20,13,-8,0,114,-26,0,0
2024-02-03 17:04:32,20,10,-8,1,115,-20,0,3
2024-02-03 17:04:32,20,10,-8,2,115,-20,0,6
2024-02-03 17:04:32,20,10,-8,0,115,-20,0,0
2024-02-03 17:04:32,20,8,-9,0,115,-16,0,0
2024-02-03 17:04:32,20,5,-9,-1,115,-10,0,-3
2024-02-03 17:04:32,20,7,-9,-1,116,-14,0,-3
2024-02-03 17:04:32,20,4,-10,0,116,-8,0,0
2024-02-03 17:04:32,20,5,-12,0,115,-10,0,0
2024-02-03 17:04:32,20,5,-11,0,117,-10,0,0
2024-02-03 17:04:32,20,3,-10,3,117,-6,0,9
2024-02-03 17:04:33,20,3,-13,0,117,-6,0,0
2024-02-03 17:04:33,20,2,-13,0,117,-4,0,0
2024-02-03 17:04:33,20,2,-14,3,116,-4,0,9
2024-02-03 17:04:33,20,0,-13,0,117,0,0,0
2024-02-03 17:04:33,20,-1,-13,0,117,2,0,0
2024-02-03 17:04:33,20,-1,-13,0,117,2,0,0
2024-02-03 17:04:33,20,-2,-15,-3,116,4,0,-9
2024-02-03 17:04:33,20,-2,-15,-5,116,0,0,-15
2024-02-03 17:04:33,20,-2,-15,-5,116,0,0,-15
2024-02-03 17:04:33,20,-3,-16,-1,116,6,0,-3
2024-02-03 17:04:33,20,-3,-17,-3,115,6,0,-9
2024-02-03 17:04:33,20,-3,-17,-3,115,6,0,-9
2024-02-03 17:04:33,20,-3,-19,-4,115,0,0,-12
2024-02-03 17:04:34,20,-4,-19,-3,115,8,0,-9
2024-02-03 17:04:34,20,-4,-19,-4,115,0,0,-12
2024-02-03 17:04:34,20,-4,-19,-4,115,0,0,-12
2024-02-03 17:04:34,20,-5,-21,-4,115,0,0,-12
2024-02-03 17:04:34,20,-5,-21,-4,115,0,0,-12
2024-02-03 17:04:34,20,-5,-22,-1,115,10,0,-3
2024-02-03 17:04:34,20,-5,-23,-1,116,10,0,-3
2024-02-03 17:04:34,20,-6,-24,-3,116,12,0,-9
2024-02-03 17:04:34,20,-6,-23,-1,116,12,0,-3
2024-02-03 17:04:34,20,-7,-25,-4,117,0,0,-12
2024-02-03 17:04:34,20,-7,-25,-2,117,14,0,-6
2024-02-03 17:04:34,20,-7,-25,-2,118,14,0,-6
2024-02-03 17:04:34,20,-7,-26,0,118,14,0,0
2024-02-03 17:04:35,20,-7,-28,-4,117,0,0,-12
2024-02-03 17:04:35,20,-7,-28,-1,118,14,0,-3
2024-02-03 17:04:35,20,-8,-29,5,118,0,0,15
2024-02-03 17:04:35,20,-8,-31,0,118,16,0,0
2024-02-03 17:04:35,20,-8,-31,2,119,16,0,6
2024-02-03 17:04:35,20,-9,-32,2,119,18,0,6
2024-02-03 17:04:35,20,-9,-32,5,119,0,0,15
2024-02-03 17:04:35,20,-10,-32,4,119,0,0,12
2024-02-03 17:04:35,20,-11,-32,4,119,0,0,12
2024-02-03 17:04:35,20,-10,-33,8,118,0,0,24
2024-02-03 17:04:35,20,-10,-35,5,118,0,0,15
2024-02-03 17:04:35,20,-10,-35,5,117,0,0,15
2024-02-03 17:04:35,20,-10,-36,6,118,0,0,18
2024-02-03 17:04:36,20,-10,-36,7,118,0,0,21
2024-02-03 17:04:36,20,-10,-38,5,117,0,0,15
2024-02-03 17:04:36,20,-9,-37,6,117,0,0,18
2024-02-03 17:04:36,20,-8,-40,6,116,0,0,18
2024-02-03 17:04:36,20,-9,-41,5,116,0,0,15
2024-02-03 17:04:36,20,-9,-40,6,116,0,0,18
2024-02-03 17:04:36,20,-10,-42,6,116,0,0,18
2024-02-03 17:04:36,20,-8,-44,7,115,0,0,21
2024-02-03 17:04:36,20,-10,-44,7,116,0,0,21
2024-02-03 17:04:36,20,-9,-45,3,116,18,0,9
2024-02-03 17:04:36,20,-7,-46,0,115,14,0,0
2024-02-03 17:04:36,20,-7,-46,0,115,14,0,0
2024-02-03 17:04:36,20,-6,-48,-1,113,12,0,-3
2024-02-03 17:04:37,20,-6,-48,0,113,12,0,0
2024-02-03 17:04:37,20,-6,-48,0,113,12,0,0
2024-02-03 17:04:37,20,-7,-48,-3,113,14,0,-9
2024-02-03 17:04:37,20,-7,-49,-4,112,0,0,-12
2024-02-03 17:04:37,20,-7,-49,-2,112,14,0,-6
2024-02-03 17:04:37,20,-6,-49,1,112,12,0,3
2024-02-03 17:04:37,20,-7,-50,-3,112,14,0,-9
2024-02-03 17:04:37,20,-6,-50,-2,112,12,0,-6
2024-02-03 17:04:37,20,-6,-51,0,112,12,0,0
2024-02-03 17:04:37,20,-7,-52,0,112,14,0,0
2024-02-03 17:04:37,20,-8,-53,-3,112,16,0,-9
2024-02-03 17:04:37,20,-8,-53,0,112,16,0,0
